id,eui,name,connected_at,disconnected_at,is_connected,last_connected,downtime_duration,last_uplink_received_at,last_downlink_received_at,last_status_received_at
eui-000080029c07aecb,000080029C07AEBB,IDU00457-Concentrix-ILOILO-3F PRODUCTION ROOM,2022-09-25 16:40:19,,True,2022-09-29 17:47:53,0.0,2022-09-29 17:34:35,2022-09-27 05:58:44,2022-09-29 17:47:53
eui-000080029c07aece,000080029C07AEC0,IDU00421-Concentrix-TECHNOHUB L-3F SERVER ROOM,2022-09-26 19:54:13,,True,2022-09-29 17:48:28,0.0,2022-09-29 17:48:10,2022-09-29 17:48:04,2022-09-29 17:48:28
eui-000080029c07aed4,000080029C07AEC3,IDU00359-Hardware-Aernest-PWX,,,False,,0.0,,,
eui-000080029c07aed5,000080029C07AEC4,IDU00313-PWX,,,False,,0.0,,,
eui-000080029c07aedb,000080029C07AEC6,IDU00428-BPI Naic-PWX,2022-09-22 22:46:59,,True,2022-09-29 17:48:10,0.0,2022-09-29 17:48:10,2022-09-29 17:46:08,2022-09-29 17:48:02
eui-000080029c07aee5,000080029C07AEC9,IDU00310-Meralco Lopez 15F Machine Room-PWX,2022-09-22 22:47:00,,True,2022-09-29 17:48:07,0.0,2022-09-29 17:47:51,2022-09-29 17:41:16,2022-09-29 17:48:07
eui-000080029c07aeef,000080029C07AECB,IDU00320-BPI Grace Park 11th Ave-PWX,2022-09-23 07:46:50,,True,2022-09-29 17:48:10,0.0,2022-09-29 17:47:15,2022-09-29 17:45:58,2022-09-29 17:48:10
eui-000080029c07aefa,000080029C07AECE,IDU00315-BPI Commonwealth-PWX,2022-09-22 22:47:04,,True,2022-09-29 17:48:20,0.0,2022-09-29 17:48:20,2022-09-29 17:43:48,2022-09-29 17:47:58
eui-000080029c07aefe,000080029C07AED4,IDU00385-Concentrix Vismin-PWX,2022-09-29 08:51:23,,True,2022-09-29 17:47:53,0.0,2022-09-29 17:46:59,,2022-09-29 17:47:53
eui-000080029c07af00,000080029C07AED5,IDU00381-Concentrix-UPA-G-2F Network Room 2-2,,,False,,0.0,,,
eui-000080029c07af04,000080029C07AEDB,IDU00303-Charles Kabiling-PWX,,,False,,0.0,,,
eui-000080029c07af05,000080029C07AEE5,IDU00360-TOWA-PWX,,,False,,0.0,,,
eui-000080029c07af06,000080029C07AEEF,IDU00423-SH ECOLAND SANDAWA COSS-PWX,2022-09-22 22:46:59,,True,2022-09-29 17:48:11,0.0,2022-09-29 17:48:10,2022-09-29 17:48:11,2022-09-29 17:47:44
eui-000080029c07af07,000080029C07AEFA,IDU00355-Torre De Manila 42F-PWX,,,False,,0.0,,,
eui-000080029c07af09,000080029C07AEFE,IDU00441-LAB PH-PWX,,,False,,0.0,,,
eui-000080029c07af0b,000080029C07AF00,IDU00393-SH ORTIGAS EXT BGY ISIDRO COSS-PWX,2022-09-26 19:54:58,,True,2022-09-29 17:48:25,0.0,2022-09-29 17:48:25,2022-09-29 17:15:51,2022-09-29 17:48:03
eui-000080029c07af0c,000080029C07AF04,IDU00427-PWX,,2022-09-28 14:25:57,False,2022-09-28 14:21:59,238.098209,,,2022-09-28 14:21:59
eui-000080029c07af16,000080029C07AF05,IDU00459-PWX,,,False,,0.0,,,
eui-000080029c07af18,000080029C07AF06,IDU00473-PWX,,,False,,0.0,,,
eui-000080029c07af19,000080029C07AF07,IDU00420-St. Ignatius Brgy Hall 2F,,,False,,0.0,,,
eui-000080029c07af1d,000080029C07AF09,IDU00456-Clixlogic-PWX,2022-09-22 22:46:59,,True,2022-09-29 17:48:10,0.0,2022-09-29 17:48:10,2022-09-29 10:53:42,2022-09-29 17:48:00
eui-000080029c07af20,000080029C07AF0B,IDU00321-W Highstreet 5th Floor Men's CR-PWX,2022-09-22 22:46:57,,True,2022-09-29 17:47:52,0.0,2022-09-29 17:46:51,2022-09-29 17:44:16,2022-09-29 17:47:52
eui-000080029c07af23,000080029C07AF0C,IDU00328-BPI Espana UST-PWX,2022-09-24 00:08:32,,True,2022-09-29 17:48:15,0.0,2022-09-29 17:48:15,2022-09-29 17:22:36,2022-09-29 17:48:08
eui-000080029c07af2f,000080029C07AF16,IDU00329-BPI Loyola Katipunan-PWX,2022-09-22 22:46:57,,True,2022-09-29 17:48:13,0.0,2022-09-29 17:48:13,2022-09-29 17:38:33,2022-09-29 17:48:01
